No,企業名,主要三品目①,主要三品目②,主要三品目③,企業HP
501,Rathod Enterprise,精密プレス金型部品,"ミーリングチャック,コレットチャック",スパナ、ナット,https://www.nc-net.or.jp//company/87029/
502,株式会社北川鉄工所名古屋支店,「旋盤用標準パワーチャック」「回転シリンダ」「NC円テーブル」,"ミーリングチャック,コレットチャック",スパナ、ナット,https://www.nc-net.or.jp//company/94904/
503,新興精密,プラスチック金型製作,"ミーリングチャック,コレットチャック",スパナ、ナット,https://www.nc-net.or.jp//company/91075/
504,株式会社ブルーク,精密プラスチック射出成形,精密プラスチック用金型設計製造,プラスチック部品の加工・組立,https://www.nc-net.or.jp//company/47563/
505,MINAテクノロジー株式会社,機械加工用回転工具,遊戯用関連機器,プラスチック部品の加工・組立,https://www.nc-net.or.jp//company/91579/
506,コザキ設計事務所,プラスチック金型設計,ダイカスト金型設計,検査冶具設計,https://www.nc-net.or.jp//company/88614/
507,株式会社野口製作所,射出成形精密プラスチック製品製造,半導体,金型製作・設計,https://www.nc-net.or.jp//company/24960/
508,"NAKANO PRECISION CO.,LTD",旋盤、マシニング加工及び組立,株式会社中農製作所,金型製作・設計,https://www.nc-net.or.jp//company/94054/
509,株式会社  日本ヘイズ,真空浸炭炉,真空脱脂洗浄機,金属熱処理加工,https://www.nc-net.or.jp//company/26471/
510,有限会社サントラス精機,精密プラスチック金型,プラスチック試作成形品,射出成形加工品,https://www.nc-net.or.jp//company/68462/
511,東洋精密機工株式会社,フレキシブルプリント基板用精密金型,プリント基板用精密金型,成形金型,https://www.nc-net.or.jp//company/82145/
512,株式会社マツモトベース,非金属　切削加工,樹脂　切削加工,金属　切削加工,https://www.nc-net.or.jp//company/91808/
513,東光工業株式会社,精密ギアー加工,自動車部品製造　切削全般,研磨加工,https://www.nc-net.or.jp//company/71464/
514,電研産業株式会社アキタセンター,産業機器・民生機器の基板実装から完成品組立までの多機能生産を対応します。又、次の製品販売もしています。,◆生分解緩衝材 『エコプラス』…(ISO14001対応品)の製造・販売,◆空気清浄機 『サリール』の販売…　オゾンとマイナスイオンで殺菌・脱臭,https://www.nc-net.or.jp//company/60986/
515,クマクラ工業株式会社本社工場,貯蔵・輸送・集塵設備製造販売,環境改善設備製造販売,電気設備・各機器の操作制御盤,https://www.nc-net.or.jp//company/79979/
516,光陽精機株式会社,自動車メーカー向けプレス部品、プレス搬送装置、建機部品、ポンプ部品、造船内燃機、各種産業部品等,環境改善設備製造販売,電気設備・各機器の操作制御盤,https://www.nc-net.or.jp//company/88365/
517,Master Technology,自動車メーカー向けプレス部品、プレス搬送装置、建機部品、ポンプ部品、造船内燃機、各種産業部品等,環境改善設備製造販売,電気設備・各機器の操作制御盤,https://www.nc-net.or.jp//company/86825/
518,Meera Industries Pvt. Ltd.,自動車メーカー向けプレス部品、プレス搬送装置、建機部品、ポンプ部品、造船内燃機、各種産業部品等,環境改善設備製造販売,電気設備・各機器の操作制御盤,https://www.nc-net.or.jp//company/86946/
519,Amco Motors,自動車メーカー向けプレス部品、プレス搬送装置、建機部品、ポンプ部品、造船内燃機、各種産業部品等,環境改善設備製造販売,電気設備・各機器の操作制御盤,https://www.nc-net.or.jp//company/86967/
520,Kaiwlya Chemicals,自動車メーカー向けプレス部品、プレス搬送装置、建機部品、ポンプ部品、造船内燃機、各種産業部品等,環境改善設備製造販売,電気設備・各機器の操作制御盤,https://www.nc-net.or.jp//company/86952/
521,Dhaval Engineers,自動車メーカー向けプレス部品、プレス搬送装置、建機部品、ポンプ部品、造船内燃機、各種産業部品等,環境改善設備製造販売,電気設備・各機器の操作制御盤,https://www.nc-net.or.jp//company/86982/
522,エスジーエス株式会社福島工場,精密金属プレス加工(順送・単発)及び、組立,デジタルカメラ部品（機構品・外装品）,絞り加工品,https://www.nc-net.or.jp//company/46867/
523,株式会社ホシモト,プレス加工,切削加工,亜鉛ダイカスト,https://www.nc-net.or.jp//company/49373/
524,旭興産株式会社岩国工場,液晶パネル・太陽電池製造設備(ガラス基板ハンドリング自動化ほか),粉体ミキサー,自動化機械,https://www.nc-net.or.jp//company/77060/
525,株式会社パーツ精工,機械加工,切削加工,表面処理,https://www.nc-net.or.jp//company/88388/
526,金発科技JAPAN株式会社,Engineering Plastics,Plastics Alloy,表面処理,https://www.nc-net.or.jp//company/87475/
527,高坂設計事務所,【民生製品】音響機器・マッサージ機器・車載機器・ICカードリーダRW・紙幣識別搬送機・硬貨払出機・券売機 ・電動玩具・冷凍冷蔵庫・ギヤモータ,【産業製品】バルブ・ポンプ・画像検査装置・搬送装置・デジタルオートカッター・射出成形機周辺機器・配電盤​・医療機器・鉄道車両試験装置・プラント周辺機器・金型（樹脂成型 /金属成形/プレス),【プロダクトデザイン】重電端子（鋳造）、電子タバコケース（樹脂成型）、化粧品整髪料容器（樹脂成型）、真空断熱ボトル（金属プレス）加湿器（民生）、コーヒーサーバー（産業）,https://www.nc-net.or.jp//company/94524/
528,株式会社トリコ,金属ナノパウダー（粉末）・金属ナノファイバー・金属コロイド（分散液）,ダイヤモンド粒子付パッド,ＬＥＤ直管蛍光灯,https://www.nc-net.or.jp//company/84877/
529,"ITSUWA VIETNAM CO., LTD",砥石、クーラント等機械加工の生産資材,冶具、設備向けの機構部品,FA,https://www.nc-net.or.jp//company/92983/
530,Bhagwati Machine Tools,砥石、クーラント等機械加工の生産資材,冶具、設備向けの機構部品,FA,https://www.nc-net.or.jp//company/86926/
531,アドバンスド・ロジテックジャパン株式会社,シートパレットからパスボーダーまで薄型パレットを幅広く取り揃え,通常フォークで作業可能なワンウェイ用紙製品,専用フォークリフト爪,https://www.nc-net.or.jp//company/94385/
532,"Marktec Asia Co.,Ltd.",非破壊検査薬剤の販売,非破壊検査機器の販売,LEDブラックライト等の販売,https://www.nc-net.or.jp//company/93881/
533,Shree Umiya Engineers,非破壊検査薬剤の販売,非破壊検査機器の販売,LEDブラックライト等の販売,https://www.nc-net.or.jp//company/86987/
534,"鄭州多磨超硬材料有限公司（ZZDM SUPERABRASIVES CO.,LTD.)",工業ダイヤモンド、ミクロンパウダー、CBN（立方晶窒化ホウ素）,ダイヤモンド原石、合成単結晶ダイヤモンド、PCD/PCBN焼結体,ダイヤモンドペースト、ペースト等,https://www.nc-net.or.jp//company/90692/
535,株式会社サンコー,カートリッジヒーター,マイクロヒーター,熱電対,https://www.nc-net.or.jp//company/94779/
536,伊勢金型工業株式会社,大型５軸加工,大型樹脂部品,射出成形用金型,https://www.nc-net.or.jp//company/85990/
537,協和ACI 株式会社,"医療,航空機,特殊グレード材,樹脂,成形,切削,塩ビ,PVC,ポリ塩化ビニル,プラスチック:射出成形,塗装,山梨県,協和ACI 株式会社　プラスチック成形加工・可塑性・硬化性・石油製品販売",金型製作.塗装各種,組立.切削加工.印刷,https://www.nc-net.or.jp//company/35969/
538,株式会社エナミ精機,カシメ冶具,プレス機,プレス金型,https://www.nc-net.or.jp//company/89123/
539,株式会社ニュートン,精密プラスチック射出成形品,精密プラスチック射出成形品用金型,株式会社豊田自動織機,https://www.nc-net.or.jp//company/47058/
540,株式会社大和製作所,機械部品加工　　放電加工　　　タップ折れ除去,部品加工　　放電加工　　穴明け,金型修理　磨き　　ヤスリ掛け,https://www.nc-net.or.jp//company/81233/
541,日章アステック株式会社,ステンレスパイプ　他,配管加工・装置組み立て・据付工事,電解研磨その他表面処理,https://www.nc-net.or.jp//company/84213/
542,株式会社ワイ・デー・ケー,電子機器受託製造,精密切削加工,装置組立,https://www.nc-net.or.jp//company/73530/
543,コアシステム株式会社,金属・板金・プレス・アルミ鋳物加工製品,プリント（実装）基板の試作、量産,プラスチック成型品、板金加工品、アルミ鋳造品,https://www.nc-net.or.jp//company/73165/
544,和興産業株式会社静岡第一工場,樹脂　金型製作  （ コネクター関連 ）,金型　部品加工　（ 精密な角物部品 ）,樹脂　成形加工　（ ワイヤーハーネス関連 ）,https://www.nc-net.or.jp//company/78282/
545,株式会社松村精型,鋳造用金型製造・販売（低圧鋳造金型・重力鋳造金型製作）・試作・一部アルミ鋳造品の製造販売,工業用鋳造模型製造・販売（シェル金型）・試作,ダイカスト金型製造・販売・試作（一部アルミ鋳造品の製造販売）,https://www.nc-net.or.jp//company/77658/
546,プレファクト株式会社,高精度焼入れガイドレール・ベース・ステージ,SUS304・316・ベース・ステージ・レール・プレート,アルミ仕様ベース・ステージ・レール・プレート,https://www.nc-net.or.jp//company/82139/
547,サカエゴム株式会社,自動車用ゴム製品,工業用ゴム製品,シール製品、パッキン、Oリング,https://www.nc-net.or.jp//company/73014/
548,ジャノメダイカスト株式会社,アルミ・マグネのダイカスト鋳造,アルミ・マグネ・亜鉛の石膏鋳造法による試作品鋳造,シール製品、パッキン、Oリング,https://www.nc-net.or.jp//company/76698/
549,マークテック株式会社,非破壊検査機器の開発・製造販売,マーキングシステムの開発・設計製作販売,電子機器の開発・製造および販売,https://www.nc-net.or.jp//company/81093/
550,有限会社オーヴィックス,組立、検査、梱包,樹脂成形品　金属切削品,各種OEM商品請負,https://www.nc-net.or.jp//company/91317/
551,華威産品開発有限公司,試作開発・少量生産,金型製作,日系モックアップメーカー,https://www.nc-net.or.jp//company/87315/
552,日本産商株式会社,各種装置の販売及び設計・製作,金型製作,日系モックアップメーカー,https://www.nc-net.or.jp//company/94461/
553,株式会社TOK,プラスチックベアリング,ロータリーダンパー,ワンウェイクラッチ,https://www.nc-net.or.jp//company/91174/
554,株式会社 長瀬,熱硬化性(フェノール)のプラスチック製品製造,熱可塑性のプラスチック製品製造,金型から受け賜わります。,https://www.nc-net.or.jp//company/84271/
555,株式会社プレシード,自動機・省力化ライン,機械装置の受託製造,大型HVLSファン　SDファン,https://www.nc-net.or.jp//company/26450/
556,株式会社オーサカステンレス,高ニッケル合金鋼,チタン・ステンレス鋼,精密部品製造,https://www.nc-net.or.jp//company/47382/
557,有限会社エヌシーシステムズsmile事業部,アルミ切削部品,CAD/CAMデータ変換・作成,文字印刷　大判印刷　表示関連品製作,https://www.nc-net.or.jp//company/77604/
558,実川商業  株式会社,射出成形金型の製造輸出,プラスチック及びダイカスト部品の開発量産,自動車向けプラスチック部品全般,https://www.nc-net.or.jp//company/47902/
559,株式会社三愛マクセル,プラスチック金型設計製作,"DIY、収納インテリア、車、家電,",自動車向けプラスチック部品全般,https://www.nc-net.or.jp//company/29231/
560,新潟三吉工業株式会社,精密板金加工・板金組立,精密プレス加工・精密金型加工,組立二次加工・開発品,https://www.nc-net.or.jp//company/94868/
561,株式会社 島岡製作所,機械加工・治工具・試作,プレス金型・設計・製作,組立二次加工・開発品,https://www.nc-net.or.jp//company/79163/
562,エイベックス株式会社,自動車部品,プレス金型・設計・製作,組立二次加工・開発品,https://www.nc-net.or.jp//company/76289/
563,サン機工株式会社,機械設備保守、製作事業 ●工場設備機械総合メンテナンス ●大型機械の付帯工事一式 ●コンベア設計・製作 ●油圧・エア排管製作、メンテナンス ●安全柵・安全カバー加工、製造 ●架台製作 ●金物各種製作,築炉事業 ●耐火モルタル、キャスタブル耐火物、プラスチック耐火物、鋳物用耐火物の製造・販売 ●耐火レンガ等の仕入、販売 ●築炉・炉メンテナンス ●工業炉の設計・製作 ●工業炉の定期診断,組立二次加工・開発品,https://www.nc-net.or.jp//company/91340/
564,山下工業株式会社,建築・土木用鋼製型枠,バランスビーム・コンクリートバケット,鋼構造物並びに製缶物設計製作,https://www.nc-net.or.jp//company/20994/
565,有限会社グレード工業（ダイカスト・プラスチック金型製作）,プラスチック・ダイカスト金型製作,ダイカスト鋳造・プラスチック成形,塗装・組立・加工,https://www.nc-net.or.jp//company/75841/
566,東洋アイテック株式会社,プリント基板実装・組立,製品組立,装置開発・製造,https://www.nc-net.or.jp//company/71453/
567,株式会社ユアビジネス,特許寄曲負角金型スイングダイ設計製作,自動車用プレス金型工程計画と設計製作,金型部品の製作販売,https://www.nc-net.or.jp//company/81349/
568,株式会社 山崎鉄工所,各種工業用ゴム金型 設計・製作 (Injection・Conprestion・その他)。,CAD・CAM による金型設計、及びNCデータ作成。,ゴムローラ 成型・圧入・研磨 アセンブリ加工,https://www.nc-net.or.jp//company/49087/
569,久保工業株式会社,鋼構造物,産業機械,構造計算及び積算業務,https://www.nc-net.or.jp//company/22524/
570,株式会社栗原工業,紫外線照射装置,蛍光灯直流点灯装置,特殊照明設計製作,https://www.nc-net.or.jp//company/22428/
571,美濃工業株式会社,アルミダイカスト,ダイカスト製品の加工,ダイカスト製品の鋳造,https://www.nc-net.or.jp//company/94645/
572,パスカル株式会社,油圧クランプ、ワークサポート,金型交換装置、金型反転機,ガススプリング、ダイクッション,https://www.nc-net.or.jp//company/60571/
573,株式会社三ツ村製作所,連続炉銅ロー付け製品,自動車用ユニオン、コネクター,配管継ぎ手コネクター,https://www.nc-net.or.jp//company/72468/
574,サンワコーポレーション,電子部品・半導体・各種チューブ取扱販売,液晶パネル各サイズ、メーカー調達,各種スタッド,https://www.nc-net.or.jp//company/53381/
575,株式会社相互精密,自動車部品,電子部品,その他色々,https://www.nc-net.or.jp//company/46275/
576,さつき株式会社,温水洗浄便座,医療機器向け制御基板,射出成形金型全般,https://www.nc-net.or.jp//company/81002/
577,株式会社エスイー工業,FA装置,治具,プレス金型,https://www.nc-net.or.jp//company/71937/
578,パンチ工業株式会社,プラスチック金型用部品,プレス金型用部品,FA用部品,https://www.nc-net.or.jp//company/66071/
579,三和エンジニアリング株式会社明石本部工場,集塵装置及びHCL除去装置,リサイクルプラント向各種機器,公害防止機器,https://www.nc-net.or.jp//company/49315/
580,オリンピア照明株式会社新潟工場,照明器具,バックライト,公害防止機器,https://www.nc-net.or.jp//company/72411/
581,ヤマセイ株式会社,自動車用プレス金型製造(順送、タンデム),樹脂金型(MAW型、SMC型、SPM型)製造,三次元ソリッド設計,https://www.nc-net.or.jp//company/70608/
582,エージェンシーアシストベトナム,【部品調達】産業用機械装置、製造機械設備 等、各種精密加工部品の調達、販売,産業機械メーカー、半導体製造装置メーカー、洗浄機械メーカー、,電子機器メーカー、工作機械メーカー、攪拌機械メーカー、,https://www.nc-net.or.jp//company/95522/
583,企業会社泰東龍泰東龍工場,プレス、溶接加工,精密板金&amp;レーザー厚板切断,塗布加工,https://www.nc-net.or.jp//company/81335/
584,"株式会社リネクト技研Linect Co.,Ltd.",マイクロ精密金属加工、精密石英加工、etc,半導体精密加工,複合順送プレス加工,https://www.nc-net.or.jp//company/80655/
585,有限会社アクトロン,自動組立機械の電気制御設計、製作,自動検査装置の電気設計、製作、プログラム,電子回路設計、基板製作,https://www.nc-net.or.jp//company/75191/
586,株式会社上田鉄工,NC旋盤加工、マシニング加工による各種金属の精密加工,各種鋳造品製作代行,異形物量産治具製作(自社用),https://www.nc-net.or.jp//company/81971/
587,株式会社モリヨシ技研,プラスチック射出成形金型,マグネシウム金型,各種金型修理・改造・メンテナンス,https://www.nc-net.or.jp//company/83408/
588,"Kingdom Precision Casting Co., Ltd.",ロストワックス鋳物,精密加工品,3）産業用付属品4）産業用バルブ5）産業用ホースと継手,https://www.nc-net.or.jp//company/94189/
589,有限会社リファレンス,プラスチック製成型部品設計製作,ディスポーザル医療器具の設計製作,自動機械の設計製作請負,https://www.nc-net.or.jp//company/66268/
590,株式会社堺伸銅所岡山工場,銅・黄銅管,銅・黄銅管のネジ・曲げ加工,銅・黄銅管のロー付、ハンダ付等加工,https://www.nc-net.or.jp//company/76151/
591,株式会社東陽テクニカ,計測器,銅・黄銅管のネジ・曲げ加工,銅・黄銅管のロー付、ハンダ付等加工,https://www.nc-net.or.jp//company/83361/
592,株式会社イーエステクノ,静電気除去装置,空気流量増幅器 ,環境改善機器及び原材料。　企画,https://www.nc-net.or.jp//company/72139/
593,テック化成株式会社,コネクタ,端子台,環境改善機器及び原材料。　企画,https://www.nc-net.or.jp//company/91214/
594,株式会社トラストワークスジャパン福崎工場,各種製造装置の設計・製作・組立・据付調整,各種検査装置の設計・製作・組立・据付調整,各種搬送装置の設計・製作・組立・据付調整,https://www.nc-net.or.jp//company/80219/
595,株式会社三機商会,自動機,油圧機器,鍛圧機械,https://www.nc-net.or.jp//company/46213/
596,日本バルブコントロールズ株式会社,電動ボールバルブ,電動バタフライバルブ,電動緊急遮断弁,https://www.nc-net.or.jp//company/62928/
597,株式会社松下製作所,精密金型設計製作,プレス加工,電動緊急遮断弁,https://www.nc-net.or.jp//company/89660/
598,株式会社ニシテック,金属機械加工部品,樹脂機械加工部品,生産設備　設計・製作,https://www.nc-net.or.jp//company/84868/
599,株式会社清国,プレス加工,金型製作,試作板金加工,https://www.nc-net.or.jp//company/75893/
600,日本電子工業㈱,高周波焼き入れ,イオン窒化,DLC,https://www.nc-net.or.jp//company/91062/
601,有限会社東洋熱学,表面処理設備、設計、製作,塗装設備、設計、製作,乾燥設備、設計、製作,https://www.nc-net.or.jp//company/91426/
602,株式会社アペレ,分光光度計,光電比色計,ビリルビンメーター,https://www.nc-net.or.jp//company/62387/
603,天津木子炭素国際貿易有限公司,石墨電極(RP HP UHR),高純度な石墨ブロック,特殊石墨製品（石墨坩堝等）,https://www.nc-net.or.jp//company/88038/
604,伊丹電機工業株式会社,精密プラスチック製品製作,射出成形,UV塗装,https://www.nc-net.or.jp//company/73873/
605,清水プラスチック工業株式会社,プラスチック工業製品,射出成形,UV塗装,https://www.nc-net.or.jp//company/34291/
606,合資会社スピード技研,自動化機械・専用機・装置の設計,NC工作機械の操作指導・加工立上げ,UV塗装,https://www.nc-net.or.jp//company/71746/
607,株式会社ライノス,輸入切削工具,NC工作機械の操作指導・加工立上げ,UV塗装,https://www.nc-net.or.jp//company/83872/
608,株式会社ゼファー,FA装置（　電子部品、モーター）,精密巻線装置開発,画像測定検査装置,https://www.nc-net.or.jp//company/90836/
609,株式会社エス・ケイ・カンパニ－,中古射出成形機,周辺機械,画像測定検査装置,https://www.nc-net.or.jp//company/83028/
610,杭州伊納可模具模型有限公司,マシニング加工（樹脂・アルミ）,真空注型成型,光造型,https://www.nc-net.or.jp//company/91703/
611,株式会社Prodetech,タンケーブル、ダクト、空気圧システム,真空注型成型,光造型,https://www.nc-net.or.jp//company/86033/
612,株式会社Co khi Xay lap Thuong mai Minh Cuong,鉄鋼加工,機械加工,光造型,https://www.nc-net.or.jp//company/85496/
613,上海朝洋機電設備有限公司,ショットブラスト材（ショットブラスト材材質：ステーレス、アルミ、銅など。ショットブラスト材形状：針型、ボール型など）,ダイキャスト（材質：アルミ、特殊材料）,久富ダイキャスト㈱,https://www.nc-net.or.jp//company/85663/
614,フィリール株式会社,金属機械部品,フライス,旋盤,https://www.nc-net.or.jp//company/92077/
615,株式会社ブラストン,縫製加工（ユニフォーム、クリーンウェア類,ユニフォーム（作業服・オフィスウェア・ワーキングウェア・サービスウェア）,BCクリーン（クリーンルーム用品・各消耗品）,https://www.nc-net.or.jp//company/94526/
616,エナジーセッケイ機械設計事務所,カスタマイズ専用研削盤・工作機械の機械設計,省力化機械・自動機の機械設計,搬送装置・ロボット・安全柵の機械設計,https://www.nc-net.or.jp//company/75954/
617,東莞市固達機械製造有限会社,機械製造販売：1）両頭フライス盤　2）プラノミラー　3）縦フライス盤　4）丸鋸切断機  5）帯鋸機 　6）門型研磨盤　7）面取機 　8）油圧翻板機　9）マシニングセンタ,省力化機械・自動機の機械設計,搬送装置・ロボット・安全柵の機械設計,https://www.nc-net.or.jp//company/95140/
618,アサヒ通信株式会社,車載オーディオ関連のワイヤーハーネス,AV機器関連のワイヤーハーネス,民生機器関連のワイヤーハーネス,https://www.nc-net.or.jp//company/88928/
619,株式会社ユニオンクリエーション,"精密自動機パーツ,部品","金型パーツ,部品","治具,治工具",https://www.nc-net.or.jp//company/87644/
620,株式会社ベータ,マシニング加工（民生・産業用ロボット部品・液晶製造装置部品・医療機器部品）,NC旋盤・CNC自動旋盤加工（民生・産業用ロボット部品・液晶製造装置部品・医療機器部品）,研削加工（工作機械部品・特殊工具・金型治具・モーター軸・砥石軸）,https://www.nc-net.or.jp//company/80665/
621,Nhat Minh COMPANY LIMITED,金属部品加工切削工具販売,各種工作機械、精密測定器、消耗品販売,日本企業様向けの部品ｱｳﾄｿｰｼﾝｸﾞ仲介,https://www.nc-net.or.jp//company/87688/
622,株式会社ナガセ,フランジ・継手類,アルミ・ステンレス鋳物,特注品の製作,https://www.nc-net.or.jp//company/71572/
623,株式会社橋本金属,銅容器、ステンレス絞り、深絞り加工、単発しごき,プレス加工　電機、仏具、各種設備部品、日用品oem,銅製品、ステンレス製品の製造販売、ノベルティータンブラー,https://www.nc-net.or.jp//company/89550/
624,シンクロテック株式会社,CPLD/FPGA搭載電子制御回路ブロックで電子機器・検査冶具の標準化をPLD搭載標準基板で実現,静電気対策品の提案・対策工事：半導体取扱作業者向けおよび静電気対策環境向け製品,電子機器の試作開発（産業機械、検査装置、検査冶具など）にまつわるアイテム全般,https://www.nc-net.or.jp//company/83869/
625,株式会社オーハマ,一品物の切削部品から真空、射出簡易型製作と試作開発品、量産型製作と量産品の製造,射出成形（試作、量産）,真空成形（試作、量産）,https://www.nc-net.or.jp//company/3041/
626,タミー株式会社,精密金型　設計・製作（プラスチック金型、CIM金型、MIM金型、ダイカスト金型）,精密セラミックス成形品の開発協力・試作・量産,精密プラスチック成形品の開発協力・試作・量産,https://www.nc-net.or.jp//company/64328/
627,株式会社極東精機製作所,小型クランク軸加工,車輌油圧部品,電動ホイスト部品,https://www.nc-net.or.jp//company/69686/
628,株式会社Prodetech,タンケーブル、ダクト、空気圧システム,車輌油圧部品,電動ホイスト部品,https://www.nc-net.or.jp//company/86033/
629,株式会社Co khi Xay lap Thuong mai Minh Cuong,鉄鋼加工,機械加工,電動ホイスト部品,https://www.nc-net.or.jp//company/85496/
630,上海朝洋機電設備有限公司,ショットブラスト材（ショットブラスト材材質：ステーレス、アルミ、銅など。ショットブラスト材形状：針型、ボール型など）,ダイキャスト（材質：アルミ、特殊材料）,久富ダイキャスト㈱,https://www.nc-net.or.jp//company/85663/
631,フィリール株式会社,金属機械部品,フライス,旋盤,https://www.nc-net.or.jp//company/92077/
632,株式会社ブラストン,縫製加工（ユニフォーム、クリーンウェア類,ユニフォーム（作業服・オフィスウェア・ワーキングウェア・サービスウェア）,BCクリーン（クリーンルーム用品・各消耗品）,https://www.nc-net.or.jp//company/94526/
633,エナジーセッケイ機械設計事務所,カスタマイズ専用研削盤・工作機械の機械設計,省力化機械・自動機の機械設計,搬送装置・ロボット・安全柵の機械設計,https://www.nc-net.or.jp//company/75954/
634,東莞市固達機械製造有限会社,機械製造販売：1）両頭フライス盤　2）プラノミラー　3）縦フライス盤　4）丸鋸切断機  5）帯鋸機 　6）門型研磨盤　7）面取機 　8）油圧翻板機　9）マシニングセンタ,省力化機械・自動機の機械設計,搬送装置・ロボット・安全柵の機械設計,https://www.nc-net.or.jp//company/95140/
635,アサヒ通信株式会社,車載オーディオ関連のワイヤーハーネス,AV機器関連のワイヤーハーネス,民生機器関連のワイヤーハーネス,https://www.nc-net.or.jp//company/88928/
636,株式会社ユニオンクリエーション,"精密自動機パーツ,部品","金型パーツ,部品","治具,治工具",https://www.nc-net.or.jp//company/87644/
637,株式会社ベータ,マシニング加工（民生・産業用ロボット部品・液晶製造装置部品・医療機器部品）,NC旋盤・CNC自動旋盤加工（民生・産業用ロボット部品・液晶製造装置部品・医療機器部品）,研削加工（工作機械部品・特殊工具・金型治具・モーター軸・砥石軸）,https://www.nc-net.or.jp//company/80665/
638,Nhat Minh COMPANY LIMITED,金属部品加工切削工具販売,各種工作機械、精密測定器、消耗品販売,日本企業様向けの部品ｱｳﾄｿｰｼﾝｸﾞ仲介,https://www.nc-net.or.jp//company/87688/
639,株式会社ナガセ,フランジ・継手類,アルミ・ステンレス鋳物,特注品の製作,https://www.nc-net.or.jp//company/71572/
640,株式会社橋本金属,銅容器、ステンレス絞り、深絞り加工、単発しごき,プレス加工　電機、仏具、各種設備部品、日用品oem,銅製品、ステンレス製品の製造販売、ノベルティータンブラー,https://www.nc-net.or.jp//company/89550/
641,シンクロテック株式会社,CPLD/FPGA搭載電子制御回路ブロックで電子機器・検査冶具の標準化をPLD搭載標準基板で実現,静電気対策品の提案・対策工事：半導体取扱作業者向けおよび静電気対策環境向け製品,電子機器の試作開発（産業機械、検査装置、検査冶具など）にまつわるアイテム全般,https://www.nc-net.or.jp//company/83869/
642,株式会社オーハマ,一品物の切削部品から真空、射出簡易型製作と試作開発品、量産型製作と量産品の製造,射出成形（試作、量産）,真空成形（試作、量産）,https://www.nc-net.or.jp//company/3041/
643,タミー株式会社,精密金型　設計・製作（プラスチック金型、CIM金型、MIM金型、ダイカスト金型）,精密セラミックス成形品の開発協力・試作・量産,精密プラスチック成形品の開発協力・試作・量産,https://www.nc-net.or.jp//company/64328/
644,株式会社極東精機製作所,小型クランク軸加工,車輌油圧部品,電動ホイスト部品,https://www.nc-net.or.jp//company/69686/
645,株式会社Prodetech,タンケーブル、ダクト、空気圧システム,車輌油圧部品,電動ホイスト部品,https://www.nc-net.or.jp//company/86033/
646,株式会社Co khi Xay lap Thuong mai Minh Cuong,鉄鋼加工,機械加工,電動ホイスト部品,https://www.nc-net.or.jp//company/85496/
647,上海朝洋機電設備有限公司,ショットブラスト材（ショットブラスト材材質：ステーレス、アルミ、銅など。ショットブラスト材形状：針型、ボール型など）,ダイキャスト（材質：アルミ、特殊材料）,久富ダイキャスト㈱,https://www.nc-net.or.jp//company/85663/
648,フィリール株式会社,金属機械部品,フライス,旋盤,https://www.nc-net.or.jp//company/92077/
649,株式会社ブラストン,縫製加工（ユニフォーム、クリーンウェア類,ユニフォーム（作業服・オフィスウェア・ワーキングウェア・サービスウェア）,BCクリーン（クリーンルーム用品・各消耗品）,https://www.nc-net.or.jp//company/94526/
650,エナジーセッケイ機械設計事務所,カスタマイズ専用研削盤・工作機械の機械設計,省力化機械・自動機の機械設計,搬送装置・ロボット・安全柵の機械設計,https://www.nc-net.or.jp//company/75954/
651,東莞市固達機械製造有限会社,機械製造販売：1）両頭フライス盤　2）プラノミラー　3）縦フライス盤　4）丸鋸切断機  5）帯鋸機 　6）門型研磨盤　7）面取機 　8）油圧翻板機　9）マシニングセンタ,省力化機械・自動機の機械設計,搬送装置・ロボット・安全柵の機械設計,https://www.nc-net.or.jp//company/95140/
652,アサヒ通信株式会社,車載オーディオ関連のワイヤーハーネス,AV機器関連のワイヤーハーネス,民生機器関連のワイヤーハーネス,https://www.nc-net.or.jp//company/88928/
653,株式会社ユニオンクリエーション,"精密自動機パーツ,部品","金型パーツ,部品","治具,治工具",https://www.nc-net.or.jp//company/87644/
654,株式会社ベータ,マシニング加工（民生・産業用ロボット部品・液晶製造装置部品・医療機器部品）,NC旋盤・CNC自動旋盤加工（民生・産業用ロボット部品・液晶製造装置部品・医療機器部品）,研削加工（工作機械部品・特殊工具・金型治具・モーター軸・砥石軸）,https://www.nc-net.or.jp//company/80665/
655,Nhat Minh COMPANY LIMITED,金属部品加工切削工具販売,各種工作機械、精密測定器、消耗品販売,日本企業様向けの部品ｱｳﾄｿｰｼﾝｸﾞ仲介,https://www.nc-net.or.jp//company/87688/
656,株式会社ナガセ,フランジ・継手類,アルミ・ステンレス鋳物,特注品の製作,https://www.nc-net.or.jp//company/71572/
657,株式会社橋本金属,銅容器、ステンレス絞り、深絞り加工、単発しごき,プレス加工　電機、仏具、各種設備部品、日用品oem,銅製品、ステンレス製品の製造販売、ノベルティータンブラー,https://www.nc-net.or.jp//company/89550/
658,シンクロテック株式会社,CPLD/FPGA搭載電子制御回路ブロックで電子機器・検査冶具の標準化をPLD搭載標準基板で実現,静電気対策品の提案・対策工事：半導体取扱作業者向けおよび静電気対策環境向け製品,電子機器の試作開発（産業機械、検査装置、検査冶具など）にまつわるアイテム全般,https://www.nc-net.or.jp//company/83869/
